geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
01000US,United States,329725470,0,268918530,1828,196010370,24133,40196304,37073,1936842,7551,18554696,24492,555712,5130,1208267,20165,10456322,52937,1446567,17442,9009755,56247,60806968,1812,28778740,84579,1196710,17096,785819,13890,228227,6404,59845,3448,17174528,73015,12583100,60896,10609037,66856,1974063,26265
04000US17,Illinois,12821813,0,10571737,213,7721282,2623,1773138,4809,10358,752,718559,3656,3048,394,34562,2182,310790,6332,42791,2549,267999,5725,2250076,213,978131,10858,30875,2094,32356,2555,6923,863,2063,500,761418,12378,438310,8576,387494,8661,50816,2894
05000US17001,"Adams County, IL",65878,0,64732,0,60019,92,2535,328,51,33,420,113,8,11,38,24,1661,358,253,156,1408,278,1146,0,670,133,80,103,0,28,0,28,0,28,115,54,281,99,260,106,21,27
05000US17003,"Alexander County, IL",5488,0,5426,47,3465,16,1836,70,4,9,1,3,0,17,0,17,120,58,12,16,108,53,62,47,37,36,0,17,0,17,0,17,22,32,0,17,3,6,3,6,0,17
05000US17005,"Bond County, IL",16804,0,16174,0,14673,21,1163,135,99,39,165,155,0,19,12,13,62,63,7,13,55,63,630,0,447,131,21,37,13,24,0,19,0,19,24,21,125,95,81,71,44,60
05000US17007,"Boone County, IL",53592,0,41369,0,38459,77,1293,244,85,95,523,87,0,28,39,61,970,272,27,45,943,261,12223,0,6436,963,144,143,75,96,0,28,0,28,4161,1032,1407,433,1216,390,191,179
05000US17009,"Brown County, IL",6330,0,5894,0,4639,173,1159,171,31,30,3,5,0,17,0,17,62,42,18,21,44,37,436,0,237,73,15,20,8,14,0,17,0,17,135,70,41,40,41,40,0,17
05000US17011,"Bureau County, IL",33338,0,30156,0,28886,111,189,66,66,29,295,51,0,25,119,93,601,133,183,105,418,74,3182,0,1566,221,0,25,0,25,3,5,0,25,1188,230,425,134,381,130,44,29
05000US17013,"Calhoun County, IL",4537,0,4504,35,4354,44,29,35,7,11,2,4,0,12,0,12,112,55,47,44,65,33,33,35,3,6,0,12,7,12,0,12,0,12,0,12,23,26,14,22,9,15
05000US17015,"Carroll County, IL",15586,0,14960,0,13938,268,452,122,44,22,119,73,0,19,14,18,393,211,14,12,379,212,626,0,310,99,16,21,0,19,0,19,0,19,65,48,235,112,209,113,26,28
05000US17017,"Cass County, IL",13058,0,10483,0,9687,14,423,146,27,16,89,25,91,135,11,14,155,72,0,19,155,72,2575,0,1388,283,28,35,81,110,0,19,0,19,534,250,544,241,523,240,21,25
05000US17019,"Champaign County, IL",206583,0,193642,0,136368,418,26713,1073,93,49,22129,484,68,81,529,270,7742,1236,684,329,7058,1169,12941,0,8154,573,283,126,77,72,75,76,47,52,1751,441,2554,452,2321,416,233,133
05000US17021,"Christian County, IL",34038,0,33473,0,32229,83,541,144,17,24,251,49,4,12,0,25,431,188,64,83,367,161,565,0,411,104,14,14,23,42,0,25,15,24,28,51,74,58,50,43,24,42
05000US17023,"Clark County, IL",15587,0,15331,0,15034,21,118,53,5,7,20,25,0,19,0,19,154,48,14,21,140,45,256,0,8,12,0,19,4,9,57,75,0,19,8,14,179,75,179,75,0,19
05000US17025,"Clay County, IL",13313,0,13289,23,12725,27,67,45,94,78,18,23,0,19,19,27,366,83,0,19,366,83,24,23,16,20,0,19,0,19,0,19,0,19,8,11,0,19,0,19,0,19
