STATE|STATEFP|COUNTYFP|COUNTYNAME|COUSUBFP|COUSUBNS|COUSUBNAME|CLASSFP|FUNCSTAT
IL|17|001|Adams County|05742|00428668|Beverly township|T1|A
IL|17|001|Adams County|10019|00428741|Burton township|T1|A
IL|17|001|Adams County|10890|00428754|Camp Point township|T1|A
IL|17|001|Adams County|14780|00428817|Clayton township|T1|A
IL|17|001|Adams County|15859|00428834|Columbus township|T1|A
IL|17|001|Adams County|16015|00428836|Concord township|T1|A
IL|17|001|Adams County|23412|00428956|Ellington township|T1|A
IL|17|001|Adams County|25258|00428989|Fall Creek township|T1|A
IL|17|001|Adams County|29288|00429053|Gilmer township|T1|A
IL|17|001|Adams County|35957|00429143|Honey Creek township|T1|A
IL|17|001|Adams County|36295|00429151|Houston township|T1|A
IL|17|001|Adams County|39220|00429198|Keene township|T1|A
IL|17|001|Adams County|43146|00429253|Liberty township|T1|A
IL|17|001|Adams County|43458|00429257|Lima township|T1|A
IL|17|001|Adams County|45746|00422226|McKee township|T1|A
IL|17|001|Adams County|48203|00429351|Melrose township|T1|A
IL|17|001|Adams County|48320|00429353|Mendon township|T1|A
IL|17|001|Adams County|53624|00429455|Northeast township|T1|A
IL|17|001|Adams County|58278|00429536|Payson township|T1|A
IL|17|001|Adams County|62380|00429611|Quincy township|T5|B
IL|17|001|Adams County|63550|00429629|Richfield township|T1|A
IL|17|001|Adams County|64408|00429646|Riverside township|T1|A
IL|17|001|Adams County|77057|00429857|Ursa township|T1|A
IL|17|003|Alexander County|90576|01928455|Cache precinct|Z1|N
IL|17|003|Alexander County|90612|01928457|Cairo precinct|Z1|N
IL|17|003|Alexander County|91980|01928563|McClure precinct|Z1|N
IL|17|003|Alexander County|92304|01928583|Olive Branch precinct|Z1|N
IL|17|003|Alexander County|93114|01928642|Sandusky precinct|Z1|N
IL|17|003|Alexander County|93402|01928658|Tamms precinct|Z1|N
IL|17|003|Alexander County|93420|01928659|Thebes precinct|Z1|N
IL|17|005|Bond County|09694|00428736|Burgess township|T1|A
IL|17|005|Bond County|12112|00428780|Central township|T1|A
IL|17|005|Bond County|40741|00429220|Lagrange township|T1|A
IL|17|005|Bond County|49321|00429368|Mills township|T1|A
IL|17|005|Bond County|51297|00429412|Mulberry Grove township|T1|A
IL|17|005|Bond County|55730|00429484|Old Ripley township|T1|A
IL|17|005|Bond County|60586|00429579|Pleasant Mound township|T1|A
IL|17|005|Bond County|69641|00429749|Shoal Creek township|T1|A
IL|17|005|Bond County|74418|00429823|Tamalco township|T1|A
IL|17|007|Boone County|05105|00428656|Belvidere township|T1|A
IL|17|007|Boone County|07302|00427934|Bonus township|T1|A
IL|17|007|Boone County|07328|00428694|Boone township|T1|A
IL|17|007|Boone County|10435|00428749|Caledonia township|T1|A
IL|17|007|Boone County|26441|00429007|Flora township|T1|A
IL|17|007|Boone County|42951|00429247|LeRoy township|T1|A
IL|17|007|Boone County|46318|00429315|Manchester township|T1|A
IL|17|007|Boone County|61158|00429591|Poplar Grove township|T1|A
IL|17|007|Boone County|71578|00429783|Spring township|T1|A
IL|17|009|Brown County|09291|00428729|Buckhorn township|T1|A
IL|17|009|Brown County|16262|00428841|Cooperstown township|T1|A
IL|17|009|Brown County|23308|00428954|Elkhorn township|T1|A
IL|17|009|Brown County|42561|00429239|Lee township|T1|A
IL|17|009|Brown County|49685|00429377|Missouri township|T1|A
IL|17|009|Brown County|51167|00429409|Mount Sterling township|T1|A
IL|17|009|Brown County|58330|00429538|Pea Ridge township|T1|A
IL|17|009|Brown County|64187|00429644|Ripley township|T1|A
IL|17|009|Brown County|77733|00429869|Versailles township|T1|A
IL|17|011|Bureau County|02076|00428599|Arispie township|T1|A
IL|17|011|Bureau County|05430|00428661|Berlin township|T1|A
IL|17|011|Bureau County|09668|00428735|Bureau township|T1|A
IL|17|011|Bureau County|14598|00428814|Clarion township|T1|A
IL|17|011|Bureau County|16028|00428837|Concord township|T1|A
IL|17|011|Bureau County|20539|00428908|Dover township|T1|A
IL|17|011|Bureau County|24790|00428985|Fairfield township|T1|A
IL|17|011|Bureau County|30146|00429057|Gold township|T1|A
IL|17|011|Bureau County|31602|00429081|Greenville township|T1|A
IL|17|011|Bureau County|32265|00429097|Hall township|T1|A
IL|17|011|Bureau County|37413|00429169|Indiantown township|T1|A
IL|17|011|Bureau County|41807|00429227|La Moille township|T1|A
IL|17|011|Bureau County|42665|00429243|Leepertown township|T1|A
IL|17|011|Bureau County|45928|00429306|Macon township|T1|A
IL|17|011|Bureau County|46435|00429318|Manlius township|T1|A
IL|17|011|Bureau County|49438|00429371|Milo township|T1|A
IL|17|011|Bureau County|49529|00429373|Mineral township|T1|A
IL|17|011|Bureau County|52012|00429426|Neponset township|T1|A
IL|17|011|Bureau County|55392|00429480|Ohio township|T1|A
IL|17|011|Bureau County|61912|00429605|Princeton township|T1|A
IL|17|011|Bureau County|68562|00429727|Selby township|T1|A
IL|17|011|Bureau County|78539|00429887|Walnut township|T1|A
IL|17|011|Bureau County|80268|00429915|Westfield township|T1|A
IL|17|011|Bureau County|81009|00429924|Wheatland township|T1|A
IL|17|011|Bureau County|83635|00429961|Wyanet township|T1|A
IL|17|013|Calhoun County|90360|01928445|Belleview precinct|Z1|N
IL|17|013|Calhoun County|90630|01928458|Carlin precinct|Z1|N
IL|17|013|Calhoun County|90900|01928469|Crater precinct|Z1|N
IL|17|013|Calhoun County|91350|01928502|Gilead precinct|Z1|N
IL|17|013|Calhoun County|91584|01928514|Hamburg precinct|Z1|N
IL|17|013|Calhoun County|91602|01928515|Hardin precinct|Z1|N
IL|17|013|Calhoun County|92502|01928602|Point precinct|Z1|N
IL|17|013|Calhoun County|92988|01928633|Richwood precinct|Z1|N
IL|17|015|Carroll County|12996|00428798|Cherry Grove-Shannon township|T1|A
IL|17|015|Carroll County|23321|00422233|Elkhorn Grove township|T1|A
IL|17|015|Carroll County|24881|00428986|Fairhaven township|T1|A
IL|17|015|Carroll County|27832|00429028|Freedom township|T1|A
IL|17|015|Carroll County|50894|00429402|Mount Carroll township|T1|A
IL|17|015|Carroll County|64892|00429655|Rock Creek-Lima township|T1|A
IL|17|015|Carroll County|67210|00429701|Salem township|T1|A
IL|17|015|Carroll County|67834|00429718|Savanna township|T1|A
IL|17|015|Carroll County|79020|00429897|Washington township|T1|A
IL|17|015|Carroll County|83076|00429951|Woodland township|T1|A
IL|17|015|Carroll County|83700|00429963|Wysox township|T1|A
IL|17|015|Carroll County|83908|00429968|York township|T1|A
