STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
IL|17|00113|02393876|Abingdon city|INCORPORATED PLACE|C1|A|Knox County
IL|17|00178|02628541|Adair CDP|CENSUS DESIGNATED PLACE|U1|S|McDonough County
IL|17|00191|02804080|Adams CDP|CENSUS DESIGNATED PLACE|U1|S|Adams County
IL|17|00230|02397910|Addieville village|INCORPORATED PLACE|C1|A|Washington County
IL|17|00243|02397911|Addison village|INCORPORATED PLACE|C1|A|DuPage County
IL|17|00295|02397914|Adeline village|INCORPORATED PLACE|C1|A|Ogle County
IL|17|00516|02397923|Albany village|INCORPORATED PLACE|C1|A|Whiteside County
IL|17|00555|02397924|Albers village|INCORPORATED PLACE|C1|A|Clinton County
IL|17|00568|02393906|Albion city|INCORPORATED PLACE|C1|A|Edwards County
IL|17|00594|02806446|Alden CDP|CENSUS DESIGNATED PLACE|U1|S|McHenry County
IL|17|00646|02393914|Aledo city|INCORPORATED PLACE|C1|A|Mercer County
IL|17|00659|02804093|Alexander CDP|CENSUS DESIGNATED PLACE|U1|S|Morgan County
IL|17|00672|02397929|Alexis village|INCORPORATED PLACE|C1|A|Mercer County~~~Warren County
IL|17|00685|02397931|Algonquin village|INCORPORATED PLACE|C1|A|Kane County~~~McHenry County
IL|17|00737|02397932|Alhambra village|INCORPORATED PLACE|C1|A|Madison County
IL|17|00815|02397935|Allendale village|INCORPORATED PLACE|C1|A|Wabash County
IL|17|00867|02397937|Allenville village|INCORPORATED PLACE|C1|A|Moultrie County
IL|17|00880|02397939|Allerton village|INCORPORATED PLACE|C1|A|Champaign County~~~Vermilion County
IL|17|00919|02397940|Alma village|INCORPORATED PLACE|C1|A|Marion County
IL|17|00958|02397942|Alorton village|INCORPORATED PLACE|C1|A|St. Clair County
IL|17|00971|02397943|Alpha village|INCORPORATED PLACE|C1|A|Henry County
IL|17|00997|02397945|Alsey village|INCORPORATED PLACE|C1|A|Scott County
IL|17|01010|02397946|Alsip village|INCORPORATED PLACE|C1|A|Cook County
IL|17|01049|02393932|Altamont city|INCORPORATED PLACE|C1|A|Effingham County
IL|17|01114|02393935|Alton city|INCORPORATED PLACE|C1|A|Madison County
IL|17|01140|02397949|Altona village|INCORPORATED PLACE|C1|A|Knox County
IL|17|01205|02397948|Alto Pass village|INCORPORATED PLACE|C1|A|Union County
IL|17|01242|02397950|Alvin village|INCORPORATED PLACE|C1|A|Vermilion County
IL|17|01270|02393944|Amboy city|INCORPORATED PLACE|C1|A|Lee County
IL|17|01361|02397959|Anchor village|INCORPORATED PLACE|C1|A|McLean County
IL|17|01426|02397960|Andalusia village|INCORPORATED PLACE|C1|A|Rock Island County
IL|17|01491|02397962|Andover village|INCORPORATED PLACE|C1|A|Henry County
IL|17|01517|02806447|Andres CDP|CENSUS DESIGNATED PLACE|U1|S|Will County
IL|17|01543|02393961|Anna city|INCORPORATED PLACE|C1|A|Union County
IL|17|01556|02583436|Annapolis CDP|CENSUS DESIGNATED PLACE|U1|S|Crawford County
IL|17|01569|02397432|Annawan town|INCORPORATED PLACE|C1|A|Bureau County~~~Henry County
IL|17|01595|02397970|Antioch village|INCORPORATED PLACE|C1|A|Lake County
IL|17|01647|02629888|Apple Canyon Lake CDP|CENSUS DESIGNATED PLACE|U1|S|Jo Daviess County
IL|17|01673|02397973|Apple River village|INCORPORATED PLACE|C1|A|Jo Daviess County
IL|17|01803|02806448|Arbury Hills CDP|CENSUS DESIGNATED PLACE|U1|S|Will County
IL|17|01881|02393978|Arcola city|INCORPORATED PLACE|C1|A|Douglas County
IL|17|01946|02397981|Arenzville village|INCORPORATED PLACE|C1|A|Cass County
IL|17|01972|02397982|Argenta village|INCORPORATED PLACE|C1|A|Macon County
IL|17|02050|02804650|Argyle CDP|CENSUS DESIGNATED PLACE|U1|S|Boone County~~~Winnebago County
