file_fieldname,db_fieldname,notes
AgencyCode,AgencyCode,
AgencyName,AgencyName,
DateOfStop,DateOfStop,
TimeOfStop,TimeOfStop,
DurationOfStop,DurationOfStop,
ZIP,zipcode,
VehicleMake,VehicleMake,
VehicleYear,VehicleYear,
DriversYearofBirth,DriversYearofBirth,
DriverSex,DriverSex,
DriverRace,DriverRace,
ReasonForStop,ReasonForStop,
TypeOfMovingViolation,TypeOfMovingViolation,
ResultOfStop,ResultOfStop,
BeatLocationOfStop,BeatLocationOfStop,
VehicleConsentSearchRequested,VehicleConsentSearchRequested,
VehicleConsentGiven,VehicleConsentGiven,
VehicleSearchConducted,VehicleSearchConducted,
VehicleSearchConductedBy,VehicleSearchConductedBy,
VehicleContrabandFound,VehicleContrabandFound,
VehicleDrugsFound,VehicleDrugsFound,
VehicleDrugParaphernaliaFound,VehicleDrugParaphernaliaFound,
VehicleAlcoholFound,VehicleAlcoholFound,
VehicleWeaponFound,VehicleWeaponFound,
VehicleStolenPropertyFound,VehicleStolenPropertyFound,
VehicleOtherContrabandFound,VehicleOtherContrabandFound,
VehicleDrugAmount,VehicleDrugAmount,
DriverConsentSearchRequested,DriverConsentSearchRequested,
DriverConsentGiven,DriverConsentGiven,
DriverSearchConducted,DriverSearchConducted,
DriverSearchConductedBy,DriverSearchConductedBy,
PassengerConsentSearchRequested,PassengerConsentSearchRequested,
PassengerConsentGiven,PassengerConsentGiven,
PassengerSearchConducted,PassengerSearchConducted,
PassengerSearchConductedBy,PassengerSearchConductedBy,
DriverPassengerContrabandFound,DriverPassengerContrabandFound,
DriverPassengerDrugsFound,DriverPassengerDrugsFound,
DriverPassengerDrugParaphernaliaFound,DriverPassengerDrugParaphernaliaFound,
DriverPassengerAlcoholFound,DriverPassengerAlcoholFound,
DriverPassengerWeaponFound,DriverPassengerWeaponFound,
DriverPassengerStolenPropertyFound,DriverPassengerStolenPropertyFound,
DriverPassengerOtherContrabandFound,DriverPassengerOtherContrabandFound,
DriverPassengerDrugAmount,DriverPassengerDrugAmount,
PoliceDogPerformSniffOfVehicle,PoliceDogPerformSniffOfVehicle,
PoliceDogAlertIfSniffed,PoliceDogAlertIfSniffed,
PoliceDogVehicleSearched,PoliceDogVehicleSearched,
PoliceDogContrabandFound,PoliceDogContrabandFound,
PoliceDogDrugsFound,PoliceDogDrugsFound,
PoliceDogDrugParaphernaliaFound,PoliceDogDrugParaphernaliaFound,
PoliceDogAlcoholFound,PoliceDogAlcoholFound,
PoliceDogWeaponFound,PoliceDogWeaponFound,
PoliceDogStolenPropertyFound,PoliceDogStolenPropertyFound,
PoliceDogOtherContrabandFound,PoliceDogOtherContrabandFound,
PoliceDogDrugAmount,PoliceDogDrugAmount,
Agency Name,AgencyName,
ZIPCode,zipcode,
DriverYearofBirth,DriversYearofBirth,
Race,DriverRace,check this
MovingViolationType,TypeOfMovingViolation,
SearchConducted,SearchConducted,
VehicleSearchType,VehicleSearchType,need to add a derived field to reconcile this with 2012+ data
PassengersSearchType,PassengersSearchType,need to add a derived field to reconcile this with 2012+ data
DriverSearchType,DriverSearchType,need to add a derived field to reconcile this with 2012+ data
ContrabandFound,ContrabandFound,
DrugsFound,DrugsFound,
AlcoholFound,AlcoholFound,
ParaphernaliaFound,ParaphernaliaFound,
WeaponFound,WeaponFound,
StolenPropertyFound,StolenPropertyFound,
OtherContrabandFound,OtherContrabandFound,
DrugQuantity,DrugQuantity,"when deriving this from more recent data, max() the other quantities"
ConsentSearchRequested,ConsentSearchRequested,
WasConsentGranted,WasConsentGranted,
WasConsentSearchPerformed,WasConsentSearchPerformed,
WasConsentContrabandFound,WasConsentContrabandFound,
ConsentDrugsFound,ConsentDrugsFound,
ConsentAlcoholFound,ConsentAlcoholFound,
ConsentParaphernaliaFound,ConsentParaphernaliaFound,
ConsentWeaponFound,ConsentWeaponFound,
ConsentStolenPropertyFound,ConsentStolenPropertyFound,
ConsentOtherContrabandFound,ConsentOtherContrabandFound,
ConsentDrugQuantity,ConsentDrugQuantity,"when deriving this from more recent data, max() the other quantities"
DateAndTimeOfStop,,"split this into Date, Time"
DriverYearOfBirth,DriversYearofBirth,
TypeOfRoadway,TypeOfRoadway,
Passenger1SearchType,Passenger1SearchType,
Passenger2SearchType,Passenger2SearchType,
Passenger3SearchType,Passenger3SearchType,
Passenger4SearchType,Passenger4SearchType,
Passenger5SearchType,Passenger5SearchType,
Passenger6SearchType,Passenger6SearchType,
